folder,screenscraper_id,mobygames_id,tgdb_id,retroarch_dbname

# Mapping between platform folder and
# - screenscraper system id
# - mobygames platform id
# - thegamesdb platform id
# - retroarch database name
#
# If you need more than one match use the alias property in platforms.json.
#
# Use supplementary/scraperdata/peas_and_idmap_verify.py to view platform names
# of the ids below.

### Begin RetroPie OOTB supported systems

# platform/folder,screenscraper_id,moby_id,tgdb_id,retroarch_dbname
3do,29,35,25,The 3DO Company - 3DO
ags,138,3,1,
amiga,64,19,4911,Commodore - Amiga
amstradcpc,65,60,4914,Amstrad - CPC
apple2,86,31,4942,
arcade,75,143,23,FBNeo - Arcade Games
arcadia,94,162,4963,Emerson - Arcadia 2001
atari2600,26,28,22,Atari - 2600
atari5200,40,33,26,Atari - 5200
atari7800,41,34,27,Atari - 7800
atari800,43,39,4943,Atari - 8-bit
atarijaguar,27,17,28,Atari - Jaguar
atarilynx,28,18,4924,Atari - Lynx
atarist,42,24,4937,Atari - ST
c64,66,27,40,Commodore - 64
channelf,80,76,4928,Fairchild - Channel F
coco,144,62,4941,
coleco,48,29,31,Coleco - ColecoVision
crvision,241,212,5005,VTech - CreatiVision
daphne,49,-1,-1,
dragon32,91,79,4952,
dreamcast,23,8,16,Sega - Dreamcast
fba,75,143,23,FBNeo - Arcade Games
fds,106,22,4936,Nintendo - Family Computer Disk System
fm7,97,126,4978,
gameandwatch,52,-1,4950,
gamegear,21,25,20,Sega - Game Gear
gb,9,10,4,Nintendo - Game Boy
gba,12,12,5,Nintendo - Game Boy Advance
gbc,10,11,41,Nintendo - Game Boy Color
gc,13,14,2,Nintendo - GameCube
intellivision,115,30,32,Mattel - Intellivision
love,-1,-1,-1,
macintosh,146,74,37,
mame,75,143,23,MAME
mame-advmame,75,143,23,MAME
mame-libretro,75,143,23,MAME
mame-mame4all,75,143,23,MAME
mastersystem,2,26,35,Sega - Master System - Mark III
megadrive,1,16,36|18,Sega - Mega Drive - Genesis
moto,141,147,-1,Thomson - MOTO
msx,113,57,4929,Microsoft - MSX
n64,14,9,3,Nintendo - Nintendo 64
nds,15,44,8,Nintendo - Nintendo DS
neogeo,142,36,24,SNK - Neo Geo
nes,3,22,7,Nintendo - Nintendo Entertainment System
ngp,25,52,4922,SNK - Neo Geo Pocket
ngpc,82,53,4923,SNK - Neo Geo Pocket Color
openbor,214,-1,-1,
oric,131,111,4986,
pc,135,2,1,DOS
pc88,221,94,4933,NEC - PC-8001 - PC-8801
pc98,208,95,4934,NEC - PC-98
pcengine,31,40,34,NEC - PC Engine - TurboGrafx 16
pcfx,72,-1,4930,NEC - PC-FX
pico8,234,103,4958,
pokemini,211,152,4957,Nintendo - Pokemon Mini
ports,135,3,1,
ps2,58,7,11,Sony - PlayStation 2
psp,61,46,13,Sony - PlayStation Portable
psx,57,6,10,Sony - PlayStation
samcoupe,213,120,4979,
saturn,22,23,17,Sega - Saturn
scummvm,123,-1,-1,ScummVM
sega32x,19,21,33,Sega - 32X
segacd,20,20,21,Sega - Mega-CD - Sega CD
sg-1000,109,114,4949,Sega - SG-1000
snes,4,15,6,Nintendo - Super Nintendo Entertainment System
solarus,223,-1,-1,
steam,138,-1,-1,
stratagus,-1,-1,-1,
ti99,205,47,4953,
tic80,222,-1,-1,TIC-80
trs-80,144,58,4941,
vectrex,102,37,4939,GCE - Vectrex
videopac,104,128,4927,Magnavox - Odyssey2
virtualboy,11,38,4918,Nintendo - Virtual Boy
wii,16,82,9,Nintendo - Wii
wonderswan,45,48,4925,Bandai - WonderSwan
wonderswancolor,46,49,4926,Bandai - WonderSwan Color
x1,220,121,4977,Sharp - X1
x68000,79,106,4931,Sharp - X68000
zmachine,215,169,-1,
zx81,77,119,5010,Sinclair - ZX 81
zxspectrum,76,41,4913,Sinclair - ZX Spectrum

### End of RetroPie OOTB supported systems

3ds,17,101,4912,Nintendo - Nintendo 3DS
actionmax,81,-1,4976,
apple2gs,217,-1,-1,
arduboy,263,215,-1,Arduboy Inc - Arduboy
astrocade,44,160,4968,
atarijaguarcd,171,-1,29,
atomiswave,53,-1,23,Atomiswave
bbcmicro,37,92,5013,
cd32,130,56,4947,Commodore - CD32
cdi,133,73,4917,Philips - CD-i
cdtv,129,83,-1,Commodore - CDTV
easyrpg,231,-1,-1,
fmtowns,253,102,4932,
gamecom,121,50,4940,Tiger - Game.com
gmaster,103,-1,-1,Hartung - Game Master
j2me,-1,-1,5018,
megaduck,90,-1,4948,
msx2,116,-1,-1,Microsoft - MSX2
n64dd,122,-1,-1,Nintendo - Nintendo 64DD
naomi,56,-1,23,Sega - Naomi
neogeocd,70,54,4956,SNK - Neo Geo CD
palm,219,65,-1,
pcenginecd,114,45,4955,NEC - PC Engine CD - TurboGrafx-CD
plus4,99,115,5007|5006,Commodore - Plus-4
ps3,59,81,12,Sony - PlayStation 3
ps4,60,141,4919,Sony - PlayStation 4
psvita,62,105,39,Sony - PlayStation Vita
pv1000,74,125,4964,Casio - PV-1000
scv,67,138,4966,Epoch - Super Cassette Vision
supervision,207,109,4959,Watara - Supervision
switch,225,203,4971,
symbian,-1,67,-1,
vic20,73,43,4945,Commodore - VIC-20
vircon32,272,-1,-1,Vircon32
vsmile,120,42,4988,VTech - V.Smile
wiiu,18,132,38,Nintendo - Wii U
xbox,32,13,14,Microsoft - Xbox
xbox360,33,69,15,Microsoft - Xbox 360
